"","players","player.cash","player.comfort","bankrupt.players","turn","total.value.fifteen","owned.blue","times.in.jail","properties.sold","color.sets","props.at.five","stale.mate"
"4310",2,-250,0.82,1,7,0,1,0,4,1,2,0
"4311",3,-261,0.96,5,133,3195,1,2,33,6,3,0
"4312",4,-948,0.41,3,20,2255,1,0,11,2,0,0
"4313",5,39,0.56,2,9,0,0,1,6,0,2,0
"4314",6,-797,0.19,4,21,1279,0,1,5,1,4,0
"4315",1,-899,0.6,2,30,649,1,0,8,1,3,0
"4316",2,-764,0.87,1,10,0,1,0,10,1,0,0
"4317",3,-702,0.08,3,35,1518,0,1,6,1,0,0
"4318",4,-4,0.73,4,47,2083,1,0,20,1,0,0
"4319",5,5624,0.11,0,65,1419,0,2,2,2,0,0
"4320",6,-195,0.35,5,54,4088,1,2,19,1,2,0
"4321",1,-830,0.91,2,31,1279,1,2,11,2,1,1
"4322",2,18392,0.92,5,502,1100,1,15,8,3,3,1
"4323",3,-784,0.84,1,19,1006,0,0,11,1,4,1
"4324",4,-778,0.06,3,72,853,0,2,0,0,0,1
"4325",5,-714,0.05,4,113,1800,0,3,2,1,0,1
"4326",6,20346,1,0,473,4730,1,16,7,5,3,1
"4327",1,-418,0.73,5,55,941,1,3,17,2,2,0
"4328",2,-500,0.74,3,36,4677,0,1,25,3,4,0
"4329",3,-30,0.98,2,10,0,0,1,5,0,1,0
"4330",4,-176,0.85,1,12,0,1,0,11,1,0,0
"4331",5,2271,0.3,0,57,1599,0,1,4,2,0,0
"4332",6,-159,0.07,4,46,1698,0,0,3,1,0,0
"4333",1,6477,0.52,4,488,1178,1,11,6,1,3,1
"4334",2,6377,0.11,5,489,1884,0,19,3,3,1,1
"4335",3,-3348,0.88,1,13,0,0,0,7,1,0,1
"4336",4,36121,0.64,0,502,3274,1,18,7,4,1,1
"4337",5,-2461,0.15,2,49,0,0,3,10,3,0,1
"4338",6,-1920,0.74,3,158,3192,1,6,12,2,1,1
"4339",1,-324,0.87,3,23,0,0,3,12,0,3,0
"4340",2,-166,0.15,2,17,802,0,0,5,1,1,0
"4341",3,3930,0.66,0,62,3908,1,3,11,3,1,0
"4342",4,-272,0.5,1,21,252,0,3,7,2,0,0
"4343",5,-179,0.21,4,48,2142,1,1,13,0,0,0
"4344",6,-203,0.63,5,68,0,0,1,10,1,1,0
"4345",1,-1987,0.02,5,62,1738,0,4,0,0,0,0
"4346",2,4129,0.23,0,52,2558,1,5,2,5,2,0
"4347",3,-1106,0.11,4,48,1530,0,0,6,1,1,0
"4348",4,-173,0.22,2,42,1125,0,9,8,1,3,0
"4349",5,-28,0.97,1,28,0,1,0,8,0,1,0
"4350",6,-276,0.13,3,51,2336,0,5,8,0,0,0
"4351",1,-323,0.38,5,51,3704,0,2,9,1,1,0
"4352",2,-210,0.77,1,17,1571,1,0,7,1,3,0
"4353",3,-104,0.5,2,25,2328,0,2,8,1,0,0
"4354",4,2220,0.53,0,59,1508,1,3,4,6,5,0
"4355",5,-422,0,4,30,1928,0,0,0,0,0,0
"4356",6,-721,0.18,3,29,985,1,0,7,2,2,0
"4357",1,-631,1,2,28,3001,1,0,15,2,2,0
"4358",2,1901,0.74,0,41,1879,1,2,8,2,3,0
"4359",3,-1018,0.86,3,22,367,0,0,8,1,2,0
"4360",4,-249,0.04,4,37,1849,0,4,0,0,0,0
"4361",5,-397,0.52,5,39,2402,1,2,14,2,1,0
"4362",6,-147,0.82,1,8,0,1,0,7,0,4,0
"4363",1,10876,0.21,4,501,0,1,22,8,2,1,1
"4364",2,-915,0.15,2,125,2608,0,2,9,3,1,1
"4365",3,22306,0.11,0,491,0,0,16,4,3,3,1
"4366",4,-690,0.84,1,11,0,0,4,5,1,3,1
"4367",5,20835,0.18,5,490,1126,1,16,1,3,3,1
"4368",6,-732,0.29,3,149,3807,0,5,8,0,1,1
"4369",1,-162,0,5,97,1932,0,14,0,0,0,0
"4370",2,-109,0.71,2,14,-89,0,0,8,2,4,0
"4371",3,-294,0.9,1,10,0,1,0,8,0,2,0
"4372",4,-88,0.75,4,54,2281,0,6,16,1,0,0
"4373",5,-721,0.16,3,38,1143,0,0,3,1,2,0
"4374",6,7812,0.68,0,107,0,1,2,10,6,0,0
"4375",1,-917,0.06,5,153,1940,0,12,10,3,0,0
"4376",2,11262,0.33,0,147,2307,1,7,4,4,3,0
"4377",3,-1018,0.16,2,56,1655,0,1,10,0,4,0
"4378",4,-1453,0.04,3,69,0,0,0,2,1,0,0
"4379",5,-850,0.13,4,73,1248,0,4,5,0,0,0
"4380",6,-652,0.1,1,39,1559,0,1,0,0,0,0
"4381",1,-1611,0.98,3,24,0,0,1,9,0,3,0
"4382",2,-104,0.8,1,8,0,0,1,6,0,0,0
"4383",3,-1459,0.15,4,23,0,0,1,3,1,2,0
"4384",4,-369,0.28,5,24,2391,0,0,10,1,0,0
"4385",5,-1053,0.22,2,18,0,0,0,3,1,2,0
