"","players","player.cash","player.comfort","bankrupt.players","turn","total.value.fifteen","owned.blue","times.in.jail","properties.sold","color.sets","props.at.five","stale.mate"
"1",1,-5,0.95,4,70,0,0,2,22,4,0,0
"2",2,-40,0.48,1,11,0,0,2,6,0,5,0
"3",3,-149,0.39,3,34,0,0,0,7,1,3,0
"4",4,3994,0.11,0,88,2590,1,2,13,3,0,0
"5",5,-634,0.59,2,21,560,1,2,7,0,3,0
"6",6,-712,0.28,5,85,1718,0,3,17,1,0,0
"7",1,-473,0.7,1,8,0,0,1,7,1,5,0
"8",2,-50,0.6,2,13,0,0,1,10,1,0,0
"9",3,-1143,0.57,3,16,257,0,0,5,0,5,0
"10",4,-950,0.79,4,25,3442,0,0,14,0,1,0
"11",5,2401,0.39,0,52,3527,1,4,7,2,0,0
"12",6,-441,0.49,5,52,1974,0,1,12,0,1,0
"13",1,-1210,0.44,3,49,2233,1,2,7,1,1,1
"14",2,-1385,0.55,1,24,1259,0,1,11,1,5,1
"15",3,-1828,0.1,4,57,1488,0,1,9,3,0,1
"16",4,20958,0.83,0,490,1515,1,21,4,6,3,1
"17",5,-1236,0.32,2,35,2374,0,3,9,1,1,1
"18",6,5856,0.54,5,501,1266,1,16,13,3,3,1
"19",1,-459,0.05,3,42,1822,0,4,0,0,0,0
"20",2,-531,0.57,5,83,0,1,3,20,3,1,0
"21",3,-687,0.04,4,39,1588,0,0,0,0,0,0
"22",4,1707,0.64,0,77,1735,1,7,9,4,1,0
"23",5,-26,0.53,2,34,1008,0,6,12,1,6,0
"24",6,-46,0.92,1,23,1026,0,9,6,1,3,0
"25",1,-21,0.58,5,239,2042,1,3,25,5,4,0
"26",2,-1,0.31,4,173,1506,0,6,6,1,2,0
"27",3,-240,0.53,2,49,1449,1,0,12,2,1,0
"28",4,-19,0.16,3,132,2554,1,3,10,1,0,0
"29",5,24313,0.71,0,244,1945,0,2,8,5,3,0
"30",6,-13,0.91,1,25,717,0,1,9,2,2,0
"31",1,-419,0.04,2,46,1071,0,5,0,0,0,1
"32",2,5884,0.55,5,483,3163,1,15,10,3,3,1
"33",3,35885,0.75,0,501,3053,1,16,6,5,0,1
"34",4,-436,0.06,3,52,1392,0,1,0,0,0,1
"35",5,-107,0.15,4,164,1897,0,4,7,1,2,1
"36",6,-222,0.25,1,22,448,0,1,5,1,2,1
"37",1,-12,0.13,5,47,0,0,2,7,0,1,0
"38",2,5336,0.86,0,49,2374,1,2,11,2,1,0
"39",3,-5,0.48,2,25,83,0,3,10,1,4,0
"40",4,-949,0.51,1,6,0,0,0,7,1,5,0
"41",5,-896,0.06,3,46,1853,0,1,1,0,0,0
"42",6,-1668,0.61,4,46,3127,1,2,17,1,0,0
"43",1,-61,0.25,4,54,2413,0,0,17,3,3,1
"44",2,7851,0.18,5,496,0,1,9,11,4,0,1
"45",3,-289,0.83,3,48,2814,1,0,13,3,0,1
"46",4,22377,0.29,0,501,2285,1,17,8,4,1,1
"47",5,-45,0.81,2,22,0,1,2,7,1,3,1
"48",6,-193,0.67,1,18,650,1,0,15,0,0,1
"49",1,-320,0.94,1,27,0,1,1,11,2,3,0
"50",2,-525,0.11,4,53,1641,0,0,10,2,1,0
"51",3,33,0.68,3,37,2617,0,1,8,1,0,0
"52",4,-933,0.46,5,132,1070,1,5,27,2,3,0
"53",5,6251,0.77,0,145,2462,1,4,10,7,1,0
"54",6,-465,0.1,2,35,1060,0,0,5,2,3,0
"55",1,34450,0.25,0,500,2016,1,10,5,4,2,1
"56",2,16299,0.31,5,496,3067,1,20,11,2,2,1
"57",3,8769,0.21,4,501,1887,0,23,5,2,0,1
"58",4,-209,0.83,2,22,1375,0,1,6,1,3,1
"59",5,-77,0.54,3,224,1756,1,4,16,4,4,1
"60",6,-1759,0.94,1,13,0,0,0,9,2,5,1
"61",1,-7,0.73,5,103,2024,0,1,21,3,3,0
"62",2,-196,0.05,2,32,168,0,3,0,0,0,0
"63",3,-24,0.12,4,87,1437,0,1,10,1,1,0
"64",4,-7,0.66,1,18,140,1,1,10,0,3,0
"65",5,-272,0.06,3,53,650,0,4,0,0,0,0
"66",6,7363,0.38,0,108,5738,1,3,5,7,4,0
"67",1,-95,0.61,5,52,4314,1,1,15,1,1,0
"68",2,7762,0.48,0,51,2774,0,1,11,2,2,0
"69",3,-226,0.07,3,31,1734,0,1,2,0,0,0
"70",4,-992,0.77,1,12,0,0,0,10,2,3,0
"71",5,-547,0.72,4,48,1091,1,1,14,1,2,0
"72",6,-3257,0.66,2,16,-1606,1,1,13,2,3,0
"73",1,-73,0.38,3,30,318,0,5,5,0,2,0
"74",2,-42,0.06,1,18,0,0,0,2,1,0,0
"75",3,-1647,0.04,2,30,0,0,0,0,0,0,0
"76",4,-761,0.69,5,40,1583,0,6,11,0,3,0
"77",5,4193,0.79,0,43,2735,1,2,10,2,0,0
"78",6,-350,0.81,4,34,3722,1,1,13,3,4,0
"79",1,4510,0.97,0,48,3328,1,0,4,4,1,0
"80",2,-2,0.63,2,11,0,1,0,6,1,1,0
"81",3,-191,0.58,4,43,3604,1,3,14,2,2,0
"82",4,-434,0.91,1,7,0,0,0,6,1,2,0
"83",5,-84,0.36,5,43,1843,0,1,9,0,1,0
"84",6,-880,0.74,3,12,0,0,1,7,1,0,0
"85",1,-424,0.91,5,56,1890,0,3,21,2,3,0
"86",2,-440,0.07,4,39,0,0,1,2,1,0,0
"87",3,-231,0.13,3,40,738,0,1,7,1,3,0
"88",4,4612,0.36,0,54,4725,1,3,10,3,4,0
"89",5,-1922,0.95,1,6,0,0,1,8,1,6,0
"90",6,-159,0.18,2,25,0,0,1,8,1,1,0
"91",1,-1563,0.64,1,11,0,0,0,9,1,2,1
"92",2,-961,0,4,71,1719,0,2,0,0,0,1
"93",3,-1113,0.97,3,69,927,1,2,7,1,3,1
"94",4,4740,0.91,5,498,3623,0,33,6,4,3,1
"95",5,-1051,0.01,2,54,1477,0,9,0,0,0,1
"96",6,28827,0.65,0,501,2787,1,26,5,4,3,1
"97",1,-317,0.84,4,51,2007,1,3,17,0,2,0
"98",2,-1118,0.93,5,53,3820,0,1,20,4,2,0
"99",3,-549,0.94,1,16,291,0,0,7,1,5,0
"100",4,-403,0.97,3,46,0,1,1,17,3,3,0
"101",5,6017,0.99,0,49,1743,0,3,10,2,0,0
"102",6,-75,0.86,2,19,0,0,0,12,2,0,0
"103",1,-744,0.85,2,19,511,0,0,15,0,0,0
"104",2,4320,0.69,0,49,0,1,2,6,1,3,0
"105",3,-110,0.78,1,16,260,1,0,12,2,0,0
"106",4,-196,0.11,3,41,1613,0,1,3,1,3,0
"107",5,-505,0.59,5,46,1263,0,7,7,1,0,0
"108",6,-665,0.16,4,39,1780,0,2,6,2,0,0
"109",1,2241,0.35,0,54,0,1,0,9,4,3,0
"110",2,-302,0.47,5,56,1035,0,2,16,1,3,0
"111",3,-392,0.49,1,8,0,0,0,8,1,3,0
"112",4,-577,0.19,4,42,0,0,1,7,1,2,0
"113",5,-769,0.39,3,34,1597,1,1,7,1,0,0
"114",6,-299,0.2,2,29,0,0,0,9,1,2,0
"115",1,-671,0.04,4,26,1262,0,0,0,0,0,0
"116",2,-27,0.61,1,17,769,1,0,8,1,0,0
"117",3,7712,0.3,0,110,0,0,4,3,6,0,0
"118",4,-40,0.88,5,120,2753,1,3,19,2,2,0
"119",5,-216,0.59,2,24,1808,0,2,8,1,1,0
"120",6,-278,0.8,3,26,0,1,0,7,1,1,0
"121",1,1419,0.59,0,59,3250,1,4,12,2,0,0
"122",2,-462,0.82,2,15,723,1,0,6,0,4,0
"123",3,-434,0.31,3,25,0,0,0,8,1,4,0
"124",4,-12,0.53,1,7,0,0,0,5,0,2,0
"125",5,-785,0.73,4,26,419,0,2,9,1,3,0
"126",6,-103,0.32,5,51,0,0,1,11,1,0,0
"127",1,-143,0.97,2,25,1490,1,1,11,1,2,0
"128",2,-13,0.17,5,184,1338,1,4,15,4,3,0
"129",3,86,0.04,4,68,1702,0,2,2,1,0,0
"130",4,12870,0.47,0,189,0,1,1,11,4,2,0
"131",5,-826,0.45,1,11,0,0,0,8,0,0,0
"132",6,-206,0.13,3,30,2138,0,1,7,1,0,0
"133",1,-149,0.62,2,69,0,0,1,8,1,0,1
"134",2,20853,0.44,0,494,2322,0,12,5,3,4,1
"135",3,16310,0.43,5,502,1459,1,17,10,5,1,1
"136",4,-295,0.66,4,159,1334,0,3,11,2,1,1
"137",5,-69,0.34,3,87,1046,0,4,7,1,0,1
"138",6,-26,0.73,1,20,390,0,0,10,2,6,1
"139",1,17196,0.45,5,471,1376,1,34,4,3,0,1
"140",2,-1357,0.05,2,61,1588,0,0,1,0,0,1
"141",3,3036,0.28,4,501,1425,1,32,5,3,2,1
"142",4,-1045,0.54,1,34,0,0,9,13,2,3,1
"143",5,30098,0.88,0,485,3329,0,34,5,2,3,1
"144",6,-1026,0.12,3,248,2232,0,19,6,1,1,1
"145",1,1068,0.94,4,487,667,1,11,10,0,3,1
"146",2,-2314,0.01,3,122,1885,0,1,0,0,0,1
"147",3,45193,0.17,0,502,1551,1,10,2,4,2,1
"148",4,-3176,0.13,1,50,1196,0,2,5,2,3,1
"149",5,3564,0.66,5,496,2837,0,11,7,4,2,1
"150",6,-3062,0.23,2,70,2209,0,3,6,1,0,1
"151",1,-1041,0.23,4,99,1537,0,2,12,2,0,1
"152",2,33328,0.96,0,501,4194,1,22,7,6,3,1
"153",3,-221,0.02,2,45,0,0,4,0,0,0,1
"154",4,-188,0.43,3,43,1518,0,5,9,2,3,1
"155",5,-165,0.72,1,14,-5,0,0,5,0,2,1
"156",6,3660,0.25,5,490,2353,0,19,5,2,0,1
"157",1,-78,0.92,5,108,2795,1,3,25,3,3,0
"158",2,-480,0.48,1,6,0,0,0,8,2,7,0
"159",3,7838,0.47,0,93,2728,1,3,11,4,1,0
"160",4,-80,0.51,2,9,0,0,1,4,0,4,0
"161",5,-72,0.38,4,55,2395,1,0,14,4,1,0
"162",6,-37,0.6,3,21,1968,1,0,14,2,2,0
"163",1,-1493,0.12,3,45,870,0,4,4,1,3,1
"164",2,14539,0.97,5,470,3458,0,11,6,5,3,1
"165",3,-1593,0.14,2,26,0,0,3,3,1,0,1
"166",4,-1156,0.78,4,92,3200,0,12,17,4,0,1
"167",5,-1633,0.21,1,23,748,0,0,5,1,2,1
"168",6,18475,0.96,0,501,0,1,7,9,3,0,1
"169",1,-106,0.07,1,37,1742,0,3,0,0,0,0
"170",2,-115,0.27,2,32,840,0,7,7,1,4,0
"171",3,-1205,0.12,4,51,1958,0,0,6,1,0,0
"172",4,4911,0.39,0,47,2165,1,3,2,3,2,0
"173",5,-734,0.23,5,46,922,0,7,8,0,2,0
"174",6,-399,0.21,3,40,2842,0,1,7,0,0,0
"175",1,-482,0.01,3,43,1498,0,9,0,0,0,1
"176",2,-319,0.86,4,174,2552,1,18,10,1,1,1
"177",3,12215,0.93,5,502,1108,1,13,4,5,0,1
"178",4,-470,0.26,2,36,1714,1,0,14,3,2,1
"179",5,-607,0.47,1,22,981,0,0,5,1,2,1
"180",6,24655,0.65,0,476,2452,1,20,6,3,0,1
"181",1,-442,0.47,2,24,0,0,1,14,0,2,0
"182",2,7256,0.4,0,62,3620,0,1,8,2,1,0
"183",3,-369,0.94,1,17,-226,0,0,7,0,3,0
"184",4,-300,0.02,3,47,1636,0,1,0,0,0,0
"185",5,-77,0.03,4,54,1975,0,0,0,0,0,0
"186",6,-604,0.27,5,63,1814,0,3,22,4,3,0
"187",1,-2134,0.03,3,103,1242,0,22,0,0,0,1
"188",2,13980,0.45,5,497,3444,1,22,9,4,3,1
"189",3,-2161,0.67,1,26,0,0,1,8,1,0,1
"190",4,24037,0.55,0,491,1412,0,24,2,2,5,1
"191",5,-2168,0.18,2,38,737,0,5,5,2,3,1
"192",6,6979,0.58,4,501,1993,1,13,5,2,4,1
"193",1,-345,0.09,3,48,1193,0,5,1,0,0,0
"194",2,-103,0.04,4,60,1468,0,1,2,1,1,0
"195",3,-324,0.17,5,97,3852,1,7,19,3,2,0
"196",4,10,0.84,2,21,0,0,4,9,0,3,0
"197",5,7814,0.58,0,99,2346,1,2,11,4,4,0
"198",6,-392,0.86,1,10,0,0,0,6,0,4,0
"199",1,-282,0.63,1,16,110,1,0,12,2,6,0
"200",2,-60,0.58,2,26,876,0,2,12,3,1,0
"201",3,4274,0.15,0,60,2278,1,1,5,1,0,0
"202",4,-380,0,3,26,1722,0,2,0,0,0,0
"203",5,-228,0.51,5,62,1672,1,5,10,2,1,0
"204",6,-175,0.98,4,31,2996,1,0,16,1,1,0
"205",1,-704,0.05,3,43,1114,0,0,0,0,0,0
"206",2,9088,0.38,0,50,1972,0,1,8,2,2,0
"207",3,-208,0.78,1,14,-208,0,0,12,1,0,0
"208",4,-1,0.41,5,50,2159,1,6,9,1,2,0
"209",5,-437,0.23,2,36,2526,0,3,8,0,1,0
"210",6,-92,0.11,4,57,1667,0,2,6,1,2,0
"211",1,4850,0.85,0,51,0,1,1,6,2,3,0
"212",2,-969,0.1,4,34,2421,0,2,2,1,0,0
"213",3,-288,0.24,1,25,0,0,1,5,1,2,0
"214",4,-197,0.29,2,21,0,0,1,6,0,1,0
"215",5,-186,0.28,5,44,1563,1,2,13,1,2,0
"216",6,-348,0.96,3,29,2477,0,0,9,0,2,0
"217",1,5055,0.46,0,46,2149,0,2,3,2,1,0
"218",2,-138,0.03,2,23,1026,0,1,0,0,0,0
"219",3,-377,0.97,1,21,2598,0,0,9,1,1,0
"220",4,-7,0.78,4,45,0,0,2,8,1,2,0
"221",5,-147,0.36,3,22,0,0,2,4,0,2,0
"222",6,-642,0.68,5,48,2829,1,3,13,3,3,0
"223",1,-597,0.88,5,55,3073,0,1,13,2,2,0
"224",2,-205,0.27,3,54,1279,1,0,8,2,4,0
"225",3,10331,0.54,0,54,2232,1,2,5,2,4,0
"226",4,-25,0.18,1,21,467,0,0,6,1,2,0
"227",5,-57,0.04,4,55,0,0,0,0,0,0,0
"228",6,-8,0,2,47,1798,0,0,0,0,0,0
"229",1,-352,0.71,4,60,2992,1,0,20,2,2,0
"230",2,-30,0.01,3,57,1940,0,5,0,0,0,0
"231",3,-94,0,2,53,1396,0,3,0,0,0,0
"232",4,11912,0.17,0,130,2212,1,8,4,4,3,0
"233",5,-137,0.98,5,134,2153,1,4,20,4,2,0
"234",6,-347,0.27,1,9,0,0,0,7,1,3,0
"235",1,-23,0.52,4,26,0,1,1,7,1,2,0
"236",2,-134,0.16,5,92,2623,1,1,12,1,1,0
"237",3,5450,0.6,0,98,4572,0,4,5,5,3,0
"238",4,-155,0.2,2,14,-255,0,0,4,0,3,0
"239",5,-176,0.68,3,18,312,0,0,5,1,3,0
"240",6,-448,0.76,2,16,80,0,0,5,0,1,0
"241",1,-430,0.01,1,22,1270,0,0,0,0,0,0
"242",2,-556,0.09,3,35,1588,0,3,3,0,1,0
"243",3,-299,0,5,51,0,0,1,0,0,0,0
"244",4,8095,0.45,0,47,2380,1,1,5,2,4,0
"245",5,-282,0.76,4,40,2183,1,3,14,0,3,0
"246",6,-85,0.19,2,33,1438,0,0,8,1,0,0
"247",1,3301,0.88,0,45,3836,1,2,6,2,2,0
"248",2,-158,0.33,1,7,0,0,0,4,1,3,0
"249",3,37,0.96,3,21,1060,0,2,8,2,3,0
"250",4,-128,0.48,4,24,1495,1,0,4,1,0,0
"251",5,-865,0.86,2,12,0,0,0,10,0,2,0
"252",6,-612,0.69,5,43,3140,1,2,16,1,1,0
"253",1,-296,0.97,5,26,653,0,0,9,1,2,0
"254",2,-133,0.29,1,8,0,0,1,3,1,2,0
"255",3,-172,0.07,4,23,1728,0,1,0,0,0,0
"256",4,-819,0.3,2,14,-819,0,0,5,0,0,0
"257",5,-146,0.53,3,19,1214,0,0,8,1,1,0
"258",6,5811,0.93,0,27,6440,1,1,4,1,3,0
"259",1,-61,0.14,4,61,2772,0,11,4,1,3,0
"260",2,-513,0.92,5,137,3011,1,2,18,2,3,0
"261",3,10161,0.5,0,133,1903,1,2,3,6,5,0
"262",4,-381,0.42,1,15,209,0,1,3,0,0,0
"263",5,-232,0.95,2,21,886,0,0,3,1,0,0
"264",6,-133,0.86,3,22,1491,1,1,8,1,1,0
"265",1,-42,0.59,2,13,0,0,1,5,1,0,0
"266",2,-265,0.58,1,10,0,1,1,7,1,2,0
"267",3,-1130,0.57,5,58,4074,0,1,16,1,3,0
"268",4,233,0.51,0,46,2945,1,4,8,3,2,0
"269",5,-305,0.28,3,16,1135,0,0,6,0,0,0
"270",6,-306,0,4,27,1648,0,1,0,0,0,0
"271",1,-843,0.88,2,29,0,0,1,10,0,3,0
"272",2,1490,0.56,0,46,1484,1,1,9,3,4,0
"273",3,-51,0.62,1,10,0,0,0,5,0,2,0
"274",4,-39,0.47,3,26,3491,0,0,10,1,2,0
"275",5,-557,0.03,5,50,0,0,0,0,0,0,0
"276",6,-754,0.38,4,39,2095,1,4,13,0,2,0
"277",1,255,0.81,1,6,0,0,0,7,0,5,1
"278",2,7980,0.49,5,501,2921,1,10,3,4,0,1
"279",3,49288,0.69,0,491,0,0,11,7,4,2,1
"280",4,295,0.34,2,47,931,0,0,5,1,2,1
"281",5,-28,0.16,4,480,2827,0,15,10,2,1,1
"282",6,-35,0.55,3,329,335,0,8,12,1,0,1
"283",1,-2129,0.92,2,58,1938,0,0,16,4,3,1
"284",2,2388,0.31,4,466,2026,1,9,11,2,0,1
"285",3,-2327,0.96,1,21,416,0,1,5,0,0,1
"286",4,-2196,0.12,3,63,2120,0,1,2,0,0,1
"287",5,31526,0.54,0,501,2175,1,15,6,4,4,1
"288",6,10717,0.89,5,452,2366,1,12,7,4,2,1
"289",1,-108,0.8,1,13,0,0,1,7,1,3,0
"290",2,2621,0.54,0,50,1623,1,1,3,1,2,0
"291",3,-184,0.32,2,19,1848,1,1,13,3,3,0
"292",4,-52,0.72,3,27,2485,1,0,12,1,0,0
"293",5,-636,0.71,4,37,1947,1,1,16,3,2,0
"294",6,-777,0.56,5,51,2222,0,2,14,2,1,0
"295",1,-410,0.42,1,7,0,1,0,8,0,3,0
"296",2,-1977,0.36,5,125,0,1,3,25,3,2,0
"297",3,-24,0.79,4,46,3224,1,2,12,1,1,0
"298",4,62,0.64,2,9,0,0,1,7,1,0,0
"299",5,117,0.13,3,23,915,0,0,3,1,2,0
"300",6,4415,0.12,0,123,1756,1,1,4,5,0,0
"301",1,-700,0.57,2,29,2293,0,3,5,0,0,0
"302",2,-4,0.54,4,46,1736,1,1,9,1,6,0
"303",3,1837,0.3,0,52,0,0,1,3,3,0,0
"304",4,-240,0.23,1,23,1878,0,0,7,0,0,0
"305",5,-771,0.6,5,50,1394,1,5,5,1,0,0
"306",6,-139,0.11,3,36,1546,0,1,4,1,0,0
"307",1,35522,0.12,0,498,1419,1,13,3,5,3,1
"308",2,86,0.5,4,299,1955,1,10,18,2,1,1
"309",3,2549,0.96,5,501,0,0,16,18,5,2,1
"310",4,-631,0.37,2,53,2470,1,2,16,4,2,1
"311",5,-1014,0.89,1,15,-117,0,2,7,1,2,1
"312",6,-424,0.11,3,110,1903,0,3,5,1,0,1
"313",1,-13,0.26,5,124,2094,0,4,9,2,0,0
"314",2,12107,0.72,0,130,4373,1,3,6,4,3,0
"315",3,-581,0.99,2,15,0,0,0,10,1,4,0
"316",4,86,0.92,1,9,0,0,0,6,1,5,0
"317",5,40,0.12,3,29,1214,0,0,0,0,0,0
"318",6,-95,0.44,4,126,2157,1,5,17,3,0,0
"319",1,-2321,0.44,2,24,1175,0,2,4,1,2,1
"320",2,25020,0.24,0,490,3738,0,8,6,5,3,1
"321",3,-2425,0.09,3,31,0,0,0,3,1,2,1
"322",4,-2486,0.51,1,17,553,0,0,2,0,0,1
"323",5,-1905,0.41,4,55,2599,0,1,11,2,1,1
"324",6,7809,0.62,5,502,1697,1,14,8,3,0,1
"325",1,2022,0.42,0,67,2057,1,2,15,2,1,0
"326",2,-369,0.13,5,62,0,0,1,8,1,0,0
"327",3,-558,0.38,4,56,2723,1,4,14,2,0,0
"328",4,-194,0.98,2,18,2298,0,0,14,1,0,0
"329",5,-631,0.84,1,13,0,0,2,9,2,4,0
"330",6,-671,0.04,3,41,2092,0,1,0,0,0,0
"331",1,7430,0.4,0,66,4271,1,4,9,3,3,0
"332",2,-635,0.95,3,51,1436,1,1,17,3,5,0
"333",3,-481,0.11,5,63,0,0,2,2,0,0,0
"334",4,-212,0.27,1,6,0,1,0,7,1,4,0
"335",5,-23,0.45,2,13,0,0,0,5,1,1,0
"336",6,331,0.08,4,61,1659,0,1,5,1,0,0
"337",1,8514,0.16,5,502,0,1,13,5,4,0,1
"338",2,-1056,0.33,5,149,1842,1,8,14,3,0,1
"339",3,26927,0.63,0,501,0,1,21,5,4,0,1
"340",4,-1394,0.41,2,69,1291,0,4,9,2,5,1
"341",5,-1237,0.04,3,76,1775,0,3,0,0,0,1
"342",6,-1232,0.54,1,20,1662,1,2,8,2,1,1
"343",1,2690,0.64,0,50,5008,1,0,10,2,0,0
"344",2,-4,0.34,5,46,1338,0,1,13,2,3,0
"345",3,-286,0.88,3,12,0,0,2,6,1,1,0
"346",4,-224,0.2,2,15,0,0,1,7,1,1,0
"347",5,-561,0.4,4,19,374,0,2,8,1,4,0
"348",6,-130,0.33,1,8,0,0,0,4,1,2,0
"349",1,-1035,0.84,5,68,0,1,0,20,1,3,0
"350",2,72,0.41,3,18,1232,0,0,4,1,3,0
"351",3,-599,0.98,4,37,1436,0,1,12,0,2,0
"352",4,-107,0.57,1,14,-197,0,1,5,0,4,0
"353",5,2445,0.93,0,64,3265,1,3,5,2,0,0
"354",6,-496,0.59,2,18,1013,0,0,8,1,0,0
"355",1,-53,0.9,4,43,2304,1,0,15,0,2,0
"356",2,-112,0.96,5,50,3082,0,0,17,3,1,0
"357",3,4653,0.61,0,51,1326,1,4,8,2,1,0
"358",4,-265,0.14,2,30,1456,0,0,3,1,3,0
"359",5,-88,0.55,3,31,0,0,0,7,2,0,0
"360",6,-2050,0.66,1,27,0,0,1,10,0,0,0
"361",1,-329,0.97,2,38,1916,1,1,14,3,0,0
"362",2,-363,0.02,1,32,676,0,1,0,0,0,0
"363",3,-5,0.04,5,74,1405,0,2,3,1,0,0
"364",4,-629,0.21,3,32,0,0,0,8,2,0,0
"365",5,7091,0.9,0,78,0,1,3,8,3,3,0
"366",6,-251,0.61,4,51,771,0,0,13,2,0,0
"367",1,-803,0.06,5,42,1608,0,6,0,0,0,0
"368",2,-1621,0.86,4,40,1367,1,0,16,2,2,0
"369",3,-1095,0.29,2,31,2068,0,3,12,3,4,0
"370",4,6469,0.57,0,35,3103,1,1,13,1,1,0
"371",5,-34,0.38,1,7,0,0,0,4,0,4,0
"372",6,-425,0.13,3,34,1838,0,0,9,2,0,0
"373",1,-366,0.92,4,44,1204,1,4,4,1,2,0
"374",2,-681,0.9,5,48,1820,1,4,22,3,2,0
"375",3,-160,1,2,37,1622,0,0,10,1,1,0
"376",4,-207,0.03,1,32,1626,0,0,0,0,0,0
"377",5,7905,0.96,0,59,3417,1,3,6,2,2,0
"378",6,-8,0.11,3,44,1475,0,2,0,0,0,0
"379",1,236,0.34,1,21,2021,0,0,6,0,0,0
"380",2,153,0.96,4,79,1184,0,4,13,3,6,0
"381",3,-231,0.14,2,38,2045,0,5,6,1,0,0
"382",4,-184,0.03,3,34,581,0,0,0,0,0,0
"383",5,-68,0.85,5,192,1846,1,5,21,2,2,0
"384",6,10894,0.17,0,199,0,1,4,2,6,4,0
"385",1,25256,0.41,0,496,4674,1,16,4,7,4,1
"386",2,201,0.6,1,18,390,1,0,6,0,2,1
"387",3,-869,0.42,2,38,1197,0,2,11,1,2,1
"388",4,-57,0.43,4,165,1499,0,9,15,1,1,1
"389",5,12647,0.15,5,501,1650,1,15,3,1,2,1
"390",6,41,0.45,3,43,1446,0,0,7,2,2,1
"391",1,-233,0.07,4,43,1960,0,2,1,0,1,0
"392",2,-208,0.4,2,32,901,0,4,7,1,2,0
"393",3,4228,0.24,0,64,2479,1,5,8,2,0,0
"394",4,-897,0.87,1,27,627,0,1,7,1,4,0
"395",5,-835,0.2,3,44,710,0,8,6,1,0,0
"396",6,-473,0.78,5,58,3005,0,2,19,3,2,0
"397",1,-109,0.34,2,23,1143,0,0,5,1,3,0
"398",2,-270,0.54,3,33,1116,0,2,8,1,0,0
"399",3,5765,0.14,0,91,1468,1,3,2,4,2,0
"400",4,-64,0.12,5,91,1884,0,3,14,2,1,0
"401",5,-146,0.66,1,7,0,1,0,6,2,2,0
"402",6,-14,0.37,4,59,5152,1,2,17,1,4,0
"403",1,-108,0.24,5,58,1661,0,0,21,3,4,0
"404",2,-480,0.36,4,43,2405,0,2,13,0,3,0
"405",3,-419,0.65,1,15,0,0,0,5,1,4,0
"406",4,2766,0.3,0,58,3800,1,0,9,4,1,0
"407",5,-290,0.46,2,25,1400,0,1,3,0,0,0
"408",6,-809,0.21,3,36,1612,0,3,5,1,2,0
"409",1,-53,0.69,3,27,3005,1,1,16,1,3,0
"410",2,-541,0.62,1,12,0,0,0,5,1,0,0
"411",3,-541,0.28,5,53,3577,0,1,17,2,4,0
"412",4,470,0.27,0,58,2510,1,6,13,3,3,0
"413",5,-172,0.65,2,19,228,0,1,3,1,3,0
"414",6,-339,0.35,4,29,866,0,2,10,1,2,0
"415",1,2861,0.13,5,488,2115,1,20,10,6,0,1
"416",2,-1649,0.26,1,20,61,0,1,7,1,2,1
"417",3,-1234,0.66,3,38,2352,0,9,8,1,2,1
"418",4,-1168,0.53,4,99,2178,1,6,18,3,2,1
"419",5,-1662,0.48,2,35,1844,1,1,9,0,2,1
"420",6,27987,0.67,0,501,1550,0,16,6,4,2,1
"421",1,13330,0.18,5,501,2929,1,13,6,3,2,1
"422",2,28999,0.49,0,494,726,1,12,10,5,1,1
"423",3,-67,0.04,5,306,2088,0,3,3,1,0,1
"424",4,-183,0.87,3,38,2898,1,2,8,2,4,1
"425",5,-39,0.36,1,21,753,0,1,8,1,0,1
"426",6,-87,0.2,3,119,893,0,6,7,2,0,1
"427",1,18533,0.39,0,250,3586,1,6,6,5,4,0
"428",2,25,0.31,3,42,1293,0,0,5,2,4,0
"429",3,-301,0.32,1,26,1391,0,0,9,0,1,0
"430",4,-177,0.64,5,258,1472,1,5,19,3,0,0
"431",5,-164,0.36,4,102,1071,0,5,8,1,1,0
"432",6,44,0.88,2,31,0,0,0,10,2,0,0
"433",1,7516,0.54,5,494,2257,1,14,11,2,1,1
"434",2,-961,0.33,4,81,3002,1,6,17,2,1,1
"435",3,-1076,0.12,3,65,2536,0,2,11,2,0,1
"436",4,16063,0.95,0,502,1823,1,15,5,6,0,1
"437",5,-1135,0.29,1,5,0,0,0,6,1,4,1
"438",6,-971,0.74,2,14,-1,0,0,8,0,3,1
"439",1,-93,0.08,2,23,1535,0,1,4,1,0,0
"440",2,-738,0.2,4,39,3190,0,0,13,2,2,0
"441",3,-563,0.89,3,30,1172,0,3,11,1,0,0
"442",4,43,0.88,1,12,0,1,3,7,1,4,0
"443",5,-1350,0.95,5,45,1469,1,4,17,2,2,0
"444",6,6735,0.29,0,48,2517,1,1,7,1,1,0
"445",1,-55,0.11,5,60,1982,0,3,3,0,1,0
"446",2,-33,0.29,4,35,1895,0,2,5,1,3,0
"447",3,3619,0.6,0,62,3538,0,3,4,4,1,0
"448",4,-273,0.87,2,16,535,0,1,7,1,3,0
"449",5,-281,0.25,3,29,1196,0,4,7,2,3,0
"450",6,-674,0.82,1,16,1196,1,0,7,1,4,0
"451",1,-38,0.3,4,36,3089,1,0,11,1,0,0
"452",2,8,0.71,1,11,0,0,1,6,1,5,0
"453",3,-52,0.03,2,17,428,0,0,0,0,0,0
