"","Var1","Freq","winning.prop","prop.order$money.made","prop.order$group"
"356",35,12,FALSE,0,9
"376",37,6,TRUE,4520,8
"395",39,10,TRUE,3700,8
"120",1,25,FALSE,164,1
"319",3,32,FALSE,244,1
"57",5,36,TRUE,4100,9
"67",6,25,TRUE,11418,2
"87",8,23,TRUE,10726,2
"97",9,24,TRUE,11008,2
"1111",11,30,TRUE,10240,3
"127",12,50,FALSE,1780,0
"137",13,28,TRUE,9080,3
"147",14,22,TRUE,3084,3
"157",15,19,TRUE,2900,9
"167",16,28,TRUE,1810,4
"187",18,37,TRUE,2198,4
"197",19,40,TRUE,1392,4
"217",21,26,FALSE,756,5
"237",23,25,FALSE,738,5
"247",24,30,FALSE,960,5
"257",25,35,TRUE,4200,9
"267",26,39,FALSE,23690,6
"277",27,34,FALSE,24396,6
"288",28,37,FALSE,1596,0
"297",29,34,FALSE,9624,6
"3110",31,34,FALSE,1274,7
"327",32,34,FALSE,1534,7
"347",34,16,FALSE,1148,7
"357",35,10,TRUE,2350,9
"377",37,23,TRUE,2240,8
"396",39,21,TRUE,1950,8
"128",1,10,TRUE,10,1
"320",3,6,TRUE,200,1
"58",5,7,FALSE,400,9
"68",6,14,TRUE,2858,2
"88",8,8,TRUE,700,2
"98",9,10,TRUE,2088,2
"1112",11,9,TRUE,110,3
"129",12,16,FALSE,550,0
"138",13,11,TRUE,120,3
"148",14,11,TRUE,168,3
"158",15,9,FALSE,525,9
"168",16,11,TRUE,196,4
"188",18,11,TRUE,154,4
"198",19,14,TRUE,176,4
"218",21,14,TRUE,270,5
"238",23,11,TRUE,144,5
"248",24,16,TRUE,180,5
"258",25,7,FALSE,625,9
"268",26,16,TRUE,506,6
"278",27,13,TRUE,748,6
"289",28,20,FALSE,974,0
"298",29,8,TRUE,192,6
"3111",31,8,TRUE,7230,7
"328",32,11,TRUE,3825,7
"348",34,10,TRUE,9912,7
"358",35,6,FALSE,1250,9
"378",37,11,TRUE,210,8
"397",39,14,FALSE,250,8
"130",1,36,FALSE,8750,1
"329",3,26,FALSE,10820,1
"59",5,31,TRUE,5600,9
"69",6,36,TRUE,996,2
"89",8,40,TRUE,456,2
"99",9,37,TRUE,712,2
"1113",11,109,TRUE,3130,3
"1210",12,73,FALSE,2400,0
"139",13,27,TRUE,490,3
"149",14,46,TRUE,1068,3
"159",15,44,TRUE,8500,9
"169",16,36,FALSE,1022,4
"189",18,56,FALSE,1848,4
"199",19,63,FALSE,1760,4
"219",21,47,FALSE,11036,5
"239",23,39,FALSE,8540,5
